order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,status
O1001,C001,P001,2022-01-05,2,25.99,0,Completed
O1002,C002,P003,2022-01-07,1,299.00,10,Completed
O1003,C003,P010,2022-01-09,1,549.00,5,Shipped
O1004,C004,P002,2022-01-11,3,89.50,0,Completed
O1005,C005,P006,2022-01-12,1,59.99,0,Cancelled
O1006,C006,P007,2022-01-15,2,149.99,15,Completed
O1007,C999,P001,2022-01-16,1,25.99,0,Completed
O1008,C007,P999,2022-01-18,1,45.00,0,Shipped
O1009,C008,P004,2022-01-20,-1,45.00,0,Completed
O1010,C009,P005,2022-01-22,1,0,0,Pending
O1011,C010,P011,2022-01-25,5,425.00,200,Completed
O1012,C011,P012,2022-01-27,1,425.00,0,completed
O1013,C012,P013,2022/01/28,2,9.99,0,Completed
O1014,C013,P014,2022-01-30,1,129.00,0,Returned
O1015,C001,P003,2022-02-01,1,299.00,0,Completed
O1016,C003,P010,2022-02-03,2,549.00,0,UNKNOWN
O1017,C014,P001,2022-02-05,4,25.99,0,Completed
O1018,C002,,2022-02-07,1,89.50,0,Completed
O1019,C015,P007,2022-02-09,1,149.99,0,Completed
O1020,C010,P003,,2,299.00,0,Completed
O1015,C001,P003,2022-02-01,1,299.00,0,Completed
O1021,C008,P002,2022-02-12,1000000,89.50,0,Completed
O1022,C012,P013,2022-02-14,2,9.99,0,Shipped
O1023,C005,P006,2022-02-16,1,59.99,5,Completed
O1024,C006,P010,2022-02-18,1,549.00,0,Completed
